,hours-per-week,occupation,capital-gain,relationship,education-num,sex,workclass,capital-loss,first_name,last_names
0,20,Other-service,0,Not-in-family,9,Male,Private,0,Michelle,Spencer
1,20,Sales,0,Own-child,8,Female,Private,0,Lisa,Hall
2,40,Handlers-cleaners,0,Other-relative,9,Male,Local-gov,0,Jason,Sanders
3,30,Sales,0,Own-child,10,Female,Private,0,Zachary,Bowen
4,56,Machine-op-inspct,0,Unmarried,9,Male,Private,0,Joshua,Coleman
5,40,Craft-repair,0,Husband,13,Male,Private,0,Becky,Perkins
6,40,Craft-repair,0,Husband,9,Male,Private,0,Jonathan,Noble
7,40,Craft-repair,0,Husband,7,Male,Private,0,Brandon,Vega
8,40,Prof-specialty,4650,Not-in-family,12,Female,Private,0,Jenna,Parker
9,35,Other-service,2407,Wife,9,Female,Private,0,Melanie,Raymond
10,40,Sales,0,Husband,13,Male,Private,1977,Anthony,Long
11,45,Adm-clerical,0,Husband,11,Male,Private,0,Pamela,Jones
12,8,,0,Not-in-family,13,Female,,0,Brad,Calhoun
13,40,Craft-repair,0,Husband,9,Male,Private,0,Stacy,White
14,38,Craft-repair,0,Not-in-family,10,Male,Private,0,Julie,Sanders
15,40,Exec-managerial,0,Husband,5,Male,Private,0,Garrett,Garrett
16,55,Sales,0,Husband,7,Male,Private,0,Kristen,Lee
17,40,Adm-clerical,0,Husband,10,Male,Federal-gov,1887,Tyler,Phelps
18,40,?,3471,Husband,5,Male,?,0,Philip,Archer
19,54,Craft-repair,0,Husband,10,Male,Private,0,Gina,Henderson
20,30,Other-service,0,Unmarried,9,Female,Private,0,Randy,Abbott
21,70,Exec-managerial,0,Husband,14,Male,Private,0,David,Manning
22,24,Other-service,0,Unmarried,9,Female,Private,0,Tyler,Marquez
23,45,Craft-repair,0,Husband,13,Male,State-gov,0,Mario,Kim
24,50,Prof-specialty,0,Not-in-family,13,Female,Local-gov,0,Brandon,Nelson
25,40,Transport-moving,0,Husband,9,Male,Local-gov,0,Lance,Mason
26,20,Sales,0,Wife,9,Female,Private,0,Sean,Rogers
27,60,Farming-fishing,0,Husband,9,Male,Self-emp-not-inc,1887,Timothy,White
28,50,Exec-managerial,0,Unmarried,13,Male,Self-emp-inc,0,Elaine,Martinez
29,40,Adm-clerical,0,Wife,10,Female,Private,0,Patrick,Zavala
30,40,Exec-managerial,0,Own-child,13,Female,Private,0,James,Grant
31,30,Adm-clerical,0,Not-in-family,9,Female,Private,0,Michelle,Kelley
32,50,Prof-specialty,15020,Unmarried,14,Male,Private,0,Katrina,Miller
33,40,Tech-support,0,Not-in-family,13,Male,Private,0,Carol,Simmons
34,40,Adm-clerical,0,Not-in-family,9,Female,Private,0,Kaitlyn,Moore
35,40,Transport-moving,0,Unmarried,12,Female,Private,0,Veronica,Clark
36,50,Farming-fishing,0,Not-in-family,10,Male,Self-emp-not-inc,0,Rachel,Palmer
37,40,Other-service,0,Not-in-family,9,Female,Private,0,Brandy,Gutierrez
38,40,Other-service,0,Not-in-family,11,Male,Private,0,Elizabeth,Booth
39,48,Transport-moving,0,Not-in-family,11,Male,Self-emp-not-inc,0,Paula,Dudley
40,45,Adm-clerical,0,Own-child,12,Female,Private,0,Michelle,Dean
41,40,Prof-specialty,0,Husband,13,Male,Private,0,Devin,Jenkins
42,35,Adm-clerical,0,Own-child,13,Female,Private,0,Gregory,Montoya
43,50,Exec-managerial,0,Husband,13,Male,Private,0,Suzanne,Graham
44,20,Prof-specialty,0,Own-child,12,Male,Private,0,Lisa,Ellis
45,40,Craft-repair,0,Husband,9,Male,Private,0,Rachel,Villegas
46,48,Protective-serv,0,Wife,,Female,State-gov,0,Lisa,Castillo
47,40,Adm-clerical,0,Not-in-family,9,Female,Private,0,Mikayla,Farrell
48,40,Sales,0,Unmarried,6,Female,Private,0,Jeff,Vasquez
49,35,Craft-repair,0,Husband,9,Male,Private,0,Holly,Glover
50,40,Machine-op-inspct,0,Own-child,9,Male,Private,0,Jody,Hartman
51,28,Adm-clerical,0,Not-in-family,10,Female,Local-gov,0,Michael,Mueller
52,30,Sales,0,Not-in-family,9,Male,Private,0,Oscar,Wilkins
53,60,Craft-repair,0,Husband,10,Male,Private,0,Robin,Price
54,45,Exec-managerial,0,Husband,9,Male,Private,0,Bruce,Holden
55,20,Other-service,0,Own-child,9,Male,Private,0,Larry,Lopez
56,35,Prof-specialty,0,Not-in-family,11,Female,Private,0,Todd,Turner
57,40,Exec-managerial,0,Not-in-family,13,Male,Federal-gov,0,Elizabeth,Anderson
58,30,Prof-specialty,0,Own-child,13,Male,Self-emp-not-inc,0,John,James
59,37,Prof-specialty,0,Own-child,12,Female,Local-gov,0,Emily,Hines
60,40,Machine-op-inspct,0,Unmarried,9,Female,Private,0,Rachael,Mueller
61,40,Craft-repair,0,Husband,11,Male,Private,0,Kathryn,Miller
62,40,Other-service,0,Own-child,9,Female,Private,0,Amanda,Berg
63,40,Machine-op-inspct,0,Not-in-family,10,Male,Private,1590,Scott,Ferguson
64,40,Exec-managerial,0,Husband,14,Male,Private,0,Terry,Medina
65,40,Protective-serv,0,Husband,10,Male,Local-gov,0,Matthew,Aguilar
66,40,Machine-op-inspct,0,Not-in-family,,Male,Private,0,Charles,Williams
67,25,?,0,Husband,13,Male,?,2163,Brandon,Perry
68,40,Other-service,0,Not-in-family,7,Female,Private,0,Matthew,Day
69,40,Adm-clerical,0,Other-relative,14,Female,Private,0,Michael,Irwin
70,20,?,0,Husband,12,Male,?,0,Susan,Cox
71,40,Adm-clerical,0,Not-in-family,10,Female,Private,0,Benjamin,Roberts
72,40,Sales,0,Not-in-family,11,Male,Self-emp-not-inc,0,Patty,Soto
73,45,Adm-clerical,0,Unmarried,10,Female,Local-gov,0,Vanessa,Mueller
74,25,Farming-fishing,0,Own-child,10,Male,Private,0,Luke,Zimmerman
75,24,Sales,0,Own-child,9,Female,Private,0,Brittany,Strong
76,48,Handlers-cleaners,0,Husband,9,Male,Private,0,Daniel,Bolton
77,20,Craft-repair,0,Husband,9,Male,Private,0,Pamela,Burton
78,60,Exec-managerial,0,Husband,6,Male,Self-emp-not-inc,0,Michaela,Beard
79,21,Exec-managerial,0,Other-relative,9,Female,Self-emp-inc,0,Katherine,Garcia
80,44,Transport-moving,0,Husband,9,Male,Private,0,Sharon,Stevens
81,40,Prof-specialty,0,Husband,10,Male,Local-gov,0,Rebecca,Le
82,40,Transport-moving,0,Own-child,10,Male,Private,0,Dennis,Cobb
83,30,?,0,Own-child,6,Male,?,0,Victor,Ramirez
84,55,Exec-managerial,0,Not-in-family,9,Male,Self-emp-not-inc,0,Sheila,Powers
85,35,Other-service,0,Unmarried,8,Female,Private,0,Christopher,Miller
86,4,Other-service,0,Husband,9,Male,Private,0,Stephanie,Russell
87,40,Craft-repair,0,Husband,9,Male,Self-emp-not-inc,0,Tony,Nelson
88,40,Adm-clerical,0,Husband,10,Male,State-gov,1740,Ryan,Robles
89,40,Craft-repair,0,Not-in-family,9,Male,Private,0,Joshua,Berry
