,marital-status,workclass,occupation,salary,relationship,hours-per-week,sex,native-country,first_name,last_names
16281,Married-civ-spouse,Self-emp-inc,Craft-repair,<=50K,Husband,15,Male,United-States,Angela,Mitchell
16282,Never-married,Federal-gov,Tech-support,<=50K,Own-child,20,Male,United-States,Teresa,Hughes
16283,Married-civ-spouse,State-gov,Farming-fishing,<=50K,Husband,40,Male,United-States,David,Sanchez
16284,Never-married,Private,Other-service,<=50K.,Not-in-family,40,Female,United-States,April,Cline
16285,Married-civ-spouse,Private,Craft-repair,>50K.,Husband,40,Male,United-States,Steven,Nunez
16286,Divorced,Private,Exec-managerial,>50K,Unmarried,50,Female,United-States,Stephanie,Raymond
16287,Married-civ-spouse,Private,Handlers-cleaners,<=50K,Husband,40,Male,United-States,Reginald,Young
16288,Married-civ-spouse,Private,Transport-moving,<=50K.,Husband,50,Male,United-States,Jeremiah,Orr
16289,Never-married,Private,Craft-repair,<=50K,Not-in-family,48,Male,United-States,Melinda,Caldwell
16290,Never-married,Private,Craft-repair,<=50K,Own-child,40,Male,United-States,Andrew,Gray
16291,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,50,Male,United-States,Leslie,Harris
16292,Married-civ-spouse,Private,Prof-specialty,>50K.,Wife,10,Female,United-States,Mrs.,Alicia
16293,Never-married,Private,Other-service,<=50K.,Own-child,40,Male,United-States,Mathew,Martinez
16294,Never-married,,,<=50K.,Own-child,30,Female,United-States,Henry,Nguyen
16295,Married-civ-spouse,Self-emp-inc,Sales,>50K,Husband,70,Male,United-States,Seth,Bowen
16296,Never-married,Local-gov,Prof-specialty,<=50K,Not-in-family,40,Female,Germany,Christina,Owens
16297,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K,Husband,65,Male,Canada,Michelle,Boyd
16298,Married-civ-spouse,Local-gov,Protective-serv,<=50K,Husband,40,Male,United-States,Leslie,Wilson
16299,Married-civ-spouse,Private,Adm-clerical,>50K,Wife,40,Female,United-States,Wesley,Clements
16300,Divorced,Local-gov,Adm-clerical,<=50K,Unmarried,35,Female,United-States,Susan,Franklin
16301,Never-married,Private,Other-service,<=50K.,Not-in-family,40,Male,United-States,Yvonne,Figueroa
16302,Never-married,Private,Sales,<=50K,Own-child,15,Female,United-States,Mr.,William
16303,Never-married,Local-gov,Prof-specialty,>50K,Not-in-family,35,Male,United-States,Alexander,Pearson
16304,Divorced,Private,Exec-managerial,>50K,Not-in-family,50,Male,United-States,Scott,Andrade
16305,Never-married,State-gov,Adm-clerical,<=50K,Not-in-family,40,Female,United-States,Bethany,Taylor
16306,Married-civ-spouse,State-gov,Exec-managerial,<=50K.,Husband,35,Male,United-States,Shawn,Fernandez
16307,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,40,Male,United-States,Amanda,Moses
16308,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,50,Male,United-States,Eric,Fry
16309,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,40,Male,Hong,Mr.,John
16310,Never-married,Private,Craft-repair,<=50K,Not-in-family,25,Male,United-States,Anthony,Cook
16311,Divorced,Private,Exec-managerial,>50K,Not-in-family,40,Female,Hungary,Nicholas,Frye
16312,Widowed,Self-emp-not-inc,Farming-fishing,<=50K,Not-in-family,14,Female,United-States,Christine,Turner
16313,Divorced,,,<=50K.,Not-in-family,65,Male,Puerto-Rico,Steven,Wiggins
16314,Never-married,Private,Prof-specialty,>50K.,Not-in-family,60,Female,United-States,Clayton,Fletcher
16315,Never-married,Private,Exec-managerial,<=50K,Not-in-family,40,Male,United-States,Patrick,Reeves
16316,Never-married,Private,Prof-specialty,<=50K,Not-in-family,40,Female,United-States,Colleen,Lin
16317,Married-civ-spouse,Private,Machine-op-inspct,<=50K.,Husband,40,Male,United-States,Amanda,Bennett
16318,Separated,Private,Adm-clerical,<=50K,Unmarried,38,Female,United-States,Patrick,Chan
16319,Separated,Federal-gov,Adm-clerical,<=50K,Unmarried,40,Female,United-States,Kenneth,Jackson
16320,Separated,Private,Protective-serv,<=50K.,Not-in-family,55,Male,United-States,Ashley,Rodriguez
16321,Never-married,State-gov,Prof-specialty,<=50K.,Not-in-family,40,Female,United-States,Anthony,Moore
16322,Married-civ-spouse,Local-gov,Protective-serv,>50K.,Husband,40,Male,United-States,Christina,Pearson
16323,Divorced,State-gov,Adm-clerical,<=50K.,Not-in-family,40,Female,,Sharon,Wade
16324,Never-married,Private,Other-service,<=50K.,Own-child,40,Female,United-States,Rebecca,Lane
16325,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,40,Male,United-States,Michael,Washington
16326,Never-married,Private,Other-service,<=50K.,Own-child,15,Female,United-States,Terry,Sullivan
