,age,fnlwgt,education,education-num,race,capital-gain,capital-loss,first_name,last_names
16281,40,144371,Bachelors,13,White,0,0,Angela,Mitchell
16282,21,181096,Some-college,10,Black,0,0,Teresa,Hughes
16283,31,157673,HS-grad,9,White,0,0,David,Sanchez
16284,22,289982,11th,7,White,0,0,April,Cline
16285,35,455469,Bachelors,13,Black,0,0,Steven,Nunez
16286,39,47871,Bachelors,13,White,0,0,Stephanie,Raymond
16287,25,186370,HS-grad,9,White,0,0,Reginald,Young
16288,57,111553,,5,White,0,0,Jeremiah,Orr
16289,21,209955,HS-grad,9,White,0,0,Melinda,Caldwell
16290,28,221366,10,,White,0,0,Andrew,Gray
16291,22,444554,Bachelors,13,White,0,0,Leslie,Harris
16292,33,176410,Masters,14,White,5178,0,Mrs.,Alicia
16293,20,398166,11th,7,Black,0,0,Mathew,Martinez
16294,23,213004,Some-college,10,White,0,1719,Henry,Nguyen
16295,46,276934,Bachelors,13,White,0,0,Seth,Bowen
16296,33,96480,Masters,14,White,0,0,Christina,Owens
16297,30,78530,HS-grad,9,White,0,0,Michelle,Boyd
16298,47,246891,Bachelors,13,White,0,0,Leslie,Wilson
16299,44,134120,HS-grad,9,White,0,0,Wesley,Clements
16300,67,191800,Bachelors,13,Black,6360,0,Susan,Franklin
16301,24,72887,HS-grad,9,Asian-Pac-Islander,0,0,Yvonne,Figueroa
16302,24,194604,Bachelors,13,White,0,0,Mr.,William
16303,47,216657,Masters,14,White,0,0,Alexander,Pearson
16304,41,344624,Bachelors,13,White,0,0,Scott,Andrade
16305,24,163480,Masters,14,Black,0,0,Bethany,Taylor
16306,67,167687,HS-grad,9,White,3456,0,Shawn,Fernandez
16307,46,133169,Assoc-voc,11,White,0,0,Amanda,Moses
16308,34,242960,Assoc-voc,11,White,0,0,Eric,Fry
16309,30,328242,Bachelors,13,Asian-Pac-Islander,0,0,Mr.,John
16310,20,279763,11th,7,Black,0,0,Anthony,Cook
16311,60,114263,Bachelors,13,White,0,0,Nicholas,Frye
