,fnlwgt,marital-status,occupation,relationship,capital-loss,education-num,workclass,capital-gain,first_name,last_names
32562,287983,Never-married,Tech-support,Not-in-family,2258,13,Private,0,Briana,Sosa
32563,157131,Never-married,Sales,Own-child,0,8,Private,0,Darlene,Mcdonald
32564,162442,Married-civ-spouse,Prof-specialty,Wife,0,13,Private,7688,Joe,Guzman
32565,211968,Never-married,Sales,Own-child,1762,10,Private,0,Max,Rodriguez
32566,142757,Married-civ-spouse,Protective-serv,Husband,0,9,State-gov,0,Aaron,Shaw
32567,155775,Married-civ-spouse,Tech-support,Husband,0,9,State-gov,0,Felicia,Salazar
32568,316627,Divorced,Craft-repair,Not-in-family,0,3,Private,0,Brittany,Johnson
32569,37792,Widowed,Other-service,Not-in-family,0,6,Private,0,Shawn,Richard
32570,133503,Married-civ-spouse,Adm-clerical,Husband,0,9,Private,0,Cristian,Taylor
32571,33155,Never-married,Prof-specialty,Not-in-family,0,16,Private,0,Anna,Schmitt
32572,218311,Divorced,Sales,Unmarried,0,10,Self-emp-not-inc,0,Michael,Richardson
32573,199277,Married-civ-spouse,Machine-op-inspct,Husband,0,9,Private,0,Mikayla,Taylor
32574,189565,Married-civ-spouse,Exec-managerial,Own-child,0,9,Private,0,Mitchell,Macias
32575,362302,Never-married,Other-service,Own-child,0,8,Private,0,Matthew,Anderson
32576,125489,Divorced,Prof-specialty,Unmarried,0,14,Private,0,Alexis,Crawford
32577,156163,Never-married,Adm-clerical,Own-child,0,10,Private,0,Lisa,Caldwell
32578,106141,Married-civ-spouse,Craft-repair,Husband,0,9,Private,99999,Steven,Hess
32579,286002,Never-married,Adm-clerical,Other-relative,0,10,Private,0,Joseph,Morales
32580,34493,Divorced,Exec-managerial,Unmarried,0,10,State-gov,0,Kyle,Fields
32581,197365,Married-civ-spouse,Farming-fishing,Husband,0,9,Private,0,Sara,Singh
32582,149368,Married-civ-spouse,Prof-specialty,Husband,0,13,Private,0,Sue,Ferguson
32583,40666,Married-civ-spouse,Farming-fishing,Husband,0,11,Self-emp-not-inc,0,Whitney,Zuniga
32584,414791,Married-civ-spouse,Transport-moving,Husband,0,9,Local-gov,0,Tony,Tran
32585,52724,Divorced,Adm-clerical,Unmarried,0,9,Private,0,Howard,Lewis
32586,170148,Never-married,Tech-support,Own-child,0,13,Private,0,Norma,Moore
32587,113708,Married-civ-spouse,Machine-op-inspct,Husband,0,9,Private,0,Melissa,Nixon
32588,61898,Married-civ-spouse,Prof-specialty,Wife,0,10,Private,0,Sheila,Martin
32589,92845,Married-civ-spouse,Farming-fishing,Husband,0,3,Self-emp-not-inc,0,Judy,Williams
32590,65738,Divorced,Tech-support,Not-in-family,0,11,Private,0,Bianca,Moreno
32591,73471,Married-civ-spouse,Handlers-cleaners,Husband,0,9,Private,0,Rodney,Wise
