,age,education,race,sex,hours-per-week,native-country,salary,first_name,last_names
32562,40,Bachelors,Asian-Pac-Islander,Female,48,Philippines,<=50K,Briana,Sosa
32563,18,12th,White,Female,8,United-States,<=50K,Darlene,Mcdonald
32564,30,Bachelors,White,Female,50,United-States,>50K,Joe,Guzman
32565,21,Some-college,White,Female,28,United-States,<=50K,Max,Rodriguez
32566,52,HS-grad,Black,Male,40,United-States,>50K,Aaron,Shaw
32567,24,HS-grad,White,Male,40,United-States,<=50K,Felicia,Salazar
32568,64,5th-6th,White,Male,40,United-States,<=50K,Brittany,Johnson
32569,63,10th,White,Female,31,United-States,<=50K,Shawn,Richard
32570,32,HS-grad,White,Male,40,United-States,<=50K,Cristian,Taylor
32571,44,Doctorate,White,Male,45,United-States,<=50K,Anna,Schmitt
32572,51,Some-college,White,Female,50,United-States,<=50K,Michael,Richardson
32573,47,HS-grad,White,Male,50,Portugal,>50K.,Mikayla,Taylor
32574,27,HS-grad,White,Male,40,United-States,<=50K.,Mitchell,Macias
32575,18,12th,White,Male,15,United-States,<=50K,Matthew,Anderson
32576,45,Masters,White,Female,50,United-States,<=50K,Alexis,Crawford
32577,25,,Black,Female,40,,<=50K.,Lisa,Caldwell
32578,28,HS-grad,White,Male,40,United-States,>50K.,Steven,Hess
32579,19,Some-college,White,Male,30,Nicaragua,<=50K,Joseph,Morales
32580,38,Some-college,White,Female,40,United-States,<=50K.,Kyle,Fields
32581,35,HS-grad,White,Male,40,United-States,<=50K,Sara,Singh
32582,32,Bachelors,White,Male,40,United-States,>50K.,Sue,Ferguson
32583,45,Assoc-voc,White,Male,60,United-States,<=50K,Whitney,Zuniga
32584,38,HS-grad,White,Male,40,United-States,>50K.,Tony,Tran
32585,54,HS-grad,White,Female,40,United-States,<=50K.,Howard,Lewis
32586,27,Bachelors,White,Female,28,United-States,<=50K.,Norma,Moore
32587,31,HS-grad,White,Male,40,United-States,<=50K.,Melissa,Nixon
32588,31,Some-college,White,Female,40,United-States,>50K.,Sheila,Martin
32589,60,5th-6th,White,Male,40,United-States,<=50K,Judy,Williams
32590,38,Assoc-voc,White,Female,40,United-States,<=50K.,Bianca,Moreno
32591,35,HS-grad,White,Male,40,United-States,<=50K.,Rodney,Wise
32592,39,,White,Female,25,United-States,<=50K,Johnathan,Elliott
32593,18,Some-college,White,Female,35,United-States,<=50K,Stephanie,Collins
32594,63,Masters,White,Male,68,United-States,>50K,Bonnie,Kim
32595,44,HS-grad,White,Female,40,United-States,<=50K,Danny,Brown
32596,56,Prof-school,Asian-Pac-Islander,Male,40,Philippines,>50K,Joe,Walker
32597,31,HS-grad,Black,Female,35,United-States,<=50K,Carlos,Richard
32598,41,HS-grad,White,Male,40,United-States,<=50K.,Howard,Bennett
32599,49,,White,Male,75,United-States,>50K.,Stephen,Riley
32600,33,Bachelors,White,Female,40,Germany,<=50K,Barbara,Wilson
32601,33,Some-college,White,Male,45,United-States,<=50K,Jay,Campos
32602,28,HS-grad,White,Female,50,United-States,<=50K,Kristina,Freeman
32603,24,Bachelors,White,Male,45,United-States,<=50K.,Adrienne,Perkins
32604,26,Bachelors,White,Male,60,?,<=50K,Amy,Stanley
32605,34,Bachelors,White,Female,40,United-States,<=50K,Kyle,Duffy
32606,66,Some-college,White,Female,50,United-States,>50K,Cynthia,Campbell
32607,27,Some-college,White,Female,48,?,<=50K,Justin,Barrett
32608,37,HS-grad,White,Male,75,United-States,<=50K,Christina,Parks
32609,17,,White,Male,10,United-States,<=50K,Tiffany,Reed
32610,42,HS-grad,White,Male,60,United-States,<=50K.,Taylor,Garza
32611,52,HS-grad,White,Male,40,United-States,<=50K.,Carlos,Cowan
32612,24,Some-college,White,Female,35,United-States,<=50K,Richard,Lawson
32613,26,Some-college,Black,Female,40,United-States,<=50K,Joanna,Espinoza
32614,18,11th,White,Female,8,United-States,<=50K,Claudia,Turner
32615,25,Bachelors,White,Male,40,United-States,<=50K,Isabel,Thompson
32616,30,Bachelors,White,Female,35,United-States,<=50K,Alexandria,Clark
32617,17,11th,White,Female,18,United-States,<=50K,Mark,Jones
32618,24,Some-college,White,Male,40,United-States,<=50K,Elizabeth,Garrett
32619,41,13,White,Male,65,United-States,<=50K,Dean,Nichols
32620,22,Some-college,White,Male,40,United-States,<=50K,Sheri,Lynn
32621,65,HS-grad,White,Male,40,United-States,>50K.,Kristen,Martin
32622,55,Some-college,White,Male,40,United-States,>50K.,Brittany,Brown
32623,32,HS-grad,White,Female,38,United-States,<=50K,Jesus,Norman
32624,58,HS-grad,White,Male,55,United-States,<=50K.,Tom,Griffin
32625,31,HS-grad,Black,Male,40,United-States,<=50K,Anne,Smith
32626,55,,White,Male,48,United-States,>50K.,Adrian,Henry
32627,28,HS-grad,White,Female,40,United-States,<=50K,Valerie,Brown
32628,45,Bachelors,Asian-Pac-Islander,Male,40,United-States,>50K,Karen,Hill
32629,34,Prof-school,White,Female,40,United-States,>50K.,Megan,Johnston
32630,46,Assoc-voc,White,Female,40,United-States,<=50K,Morgan,Rodriguez
32631,43,Prof-school,Black,Male,40,United-States,<=50K,Tyler,Wilson
32632,30,Bachelors,White,Male,40,El-Salvador,<=50K.,Nicole,Rodriguez
32633,37,,Asian-Pac-Islander,Female,38,United-States,>50K.,Molly,Bennett
32634,48,Bachelors,White,Male,50,United-States,<=50K,Douglas,Collins
32635,52,Bachelors,White,Male,40,United-States,>50K,Susan,Jackson
32636,23,Bachelors,White,Female,16,United-States,<=50K,Jennifer,Montgomery
32637,63,Some-college,White,Female,30,United-States,<=50K.,Hannah,Walsh
32638,26,HS-grad,White,Male,40,United-States,<=50K,Christopher,Gordon
32639,32,HS-grad,White,Male,40,United-States,<=50K.,Christopher,Roth
32640,19,Some-college,White,Female,20,United-States,>50K.,Anna,Johnson
32641,54,HS-grad,White,Female,40,United-States,<=50K,William,Watkins
32642,20,10th,White,Female,36,United-States,<=50K,Mr.,Victor
32643,22,Bachelors,White,Male,55,United-States,>50K,Philip,Perkins
32644,43,Masters,White,Male,60,United-States,>50K,Cynthia,Skinner
32645,42,HS-grad,White,Female,25,United-States,<=50K.,Andrea,Singh
32646,40,10th,White,Female,70,United-States,<=50K.,Larry,Anthony
32647,56,Some-college,White,Male,40,Nicaragua,<=50K,Tina,Gomez
32648,44,Some-college,White,Female,40,United-States,<=50K,Lauren,Vega
32649,23,Some-college,White,Female,35,United-States,<=50K.,Shelby,Ibarra
32650,50,Some-college,White,Male,40,United-States,<=50K,Debra,Charles
